"serial_number","film_name","film_intro","film_star","film_eval","film_describe"
"135","小森林 冬春篇","2015/日本/剧情","9.0","142959人评价","尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。"
"136","雨人","1988/美国/剧情","8.6","231022人评价","生活在自己的世界里，也可以让周围的人显得可笑和渺小。"
"137","请以你的名字呼唤我","2017/意大利法国巴西美国/剧情爱情同性","8.8","219516人评价","沉醉在电影的情感和视听氛围中无法自拔。"
"138","哈利·波特与死亡圣器(下)","2011/美国英国/剧情悬疑奇幻冒险","8.7","316472人评价","10年的完美句点。"
"139","海洋","2009/法国瑞士西班牙美国阿联酋/纪录片","9.0","106068人评价","大海啊，不全是水。"
"140","萤火之森","2011/日本/剧情爱情动画奇幻","8.8","191066人评价","触不到的恋人。"
"141","卢旺达饭店","2004/英国南非意大利美国/剧情历史战争","8.9","137642人评价","当这个世界闭上双眼，他却敞开了怀抱。"
"142","英雄本色","1986/香港/动作犯罪","8.6","201931人评价","英雄泪短，兄弟情长。 "
"143","7号房的礼物","2013/韩国/剧情喜剧家庭","8.7","208148人评价","《我是山姆》的《美丽人生》。"
"144","心迷宫","2014/中国大陆/剧情犯罪悬疑","8.7","213353人评价","荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。"
"145","虎口脱险","1966/法国英国/喜剧战争","8.9","119040人评价","永远看不腻的喜剧。"
"146","荒蛮故事","2014/阿根廷西班牙/剧情喜剧犯罪","8.8","170585人评价","始于荒诞，止于更荒诞。"
"147","傲慢与偏见","2005/法国英国美国/剧情爱情","8.5","347190人评价","爱是摈弃傲慢与偏见之后的曙光。"
"148","燃情岁月","1994/美国/剧情爱情西部家庭","8.7","162176人评价","传奇，不是每个人都可以拥有。"
"149","超能陆战队","2014/美国/喜剧动作科幻动画冒险","8.6","433396人评价","Balalala~~~"
"150","海边的曼彻斯特","2016/美国/剧情家庭","8.6","234667人评价","我们都有权利不与自己的过去和解。"
"151","蝙蝠侠：黑暗骑士崛起","2012/美国英国/剧情动作科幻犯罪惊悚","8.6","335292人评价","诺兰就是保证。"
"152","唐伯虎点秋香","1993/香港/喜剧爱情古装","8.4","396596人评价","华太师是黄霑，吴镇宇四大才子之一。"
"153","教父3","1990/美国/剧情犯罪","8.8","151657人评价","任何信念的力量，都无法改变命运。"
"154","纵横四海","1991/香港/剧情喜剧动作犯罪","8.7","172819人评价","香港浪漫主义警匪动作片的巅峰之作。"
"155","时空恋旅人","2013/英国/剧情爱情奇幻","8.6","237436人评价","把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。"
"156","玩具总动员3","2010/美国/喜剧动画奇幻冒险","8.8","217537人评价","跨度十五年的欢乐与泪水。"
"157","完美的世界","1993/美国/剧情犯罪","9.0","94320人评价","坏人的好总是比好人的好来得更感人。"
